Name,Line
kelly,oh yeah definitely ill be there for sure
michael,campus brings back so many memories  that i would have made hey frisbee check that out aww what do you say we get our fris on before class runs over throws frisbee whoo
college student,dude
dwight,oh my god animal stool jumps on desk
pam,dwight what are you doing
dwight,solving a mystery if thats quite alright with you opens ceiling tile come to papa okay ladies and gentlemen what we have here is a bird that has been trapped in a vent fortunately i have found it befobat baaat bat
karen,oh my god
dwight,baaaat bat no everyone remain calm there it goes
stanley,goooood bye
angela,on ground  please dont let that stupid thing near me
michael,okay this is it ryan is doing my intro right now
ryan,dundermifflin cant compete with the modern chains and management is unwilling or unable to adapt their customers are dying off
michael,i cant hear what hes saying but he looks like hes really into it
dwight,we have a bat in the office
toby,the simple solution would be to open a window if we had windows that could open
angela,poop is raining from the ceilings poop
jim,okay thanks hangs up phone animal control will be here at six
dwight,at six no that is unacceptable okay jim you are the number two in this office you need to step up and show some leadership
jim,im sorry what did you say so wierd
dwight,what whats so wierd
jim,the bat i mean i know i felt it bite me but look theres no mark i feel so tingly so strangely powerful shrugs oh well
ryan,and now without further ado i present the regional manager of dunder mifflin scranton michael scott
michael,hello everyone i am michael scott and i would like to start today by inspiring you may i borrow someones textbook please thank you what have we here ooh economics very very interesting rips pages out of book you cannot learn from books replace these pages with life lessons and then you will have a book that is worth its weight in gold gives book back i know these are expensive um but the lesson is priceless good alright i think youre inspired shall we proceed there are four kinds of business tourism food service railroads and sales and hospitals slash manufacturing and air travel
dwight,sighs this is your job halpert
jim,ow
karen,oh what happened
jim,that bread on your desk i just picked it up its white hot
karen,but jim this garlic bread is cold
jim,what  no it burned me i bizarre
dwight,no no one crisis at a time
dwight,if a vampire bat was in the us it would make sense for it to come to a sylvania like pennsylvania now that doesnt mean that jim is going to become a vampire only that he carries the vampiric germ
michael,so you wanna start a business how do you start what do you need well first of all you need a building and secondly you need supply you need something to sell now this could be anything it could be a thingamajig or a a whosiwhatsi or pulls out a candy bar a whatchamacallit throws bar now you need to sell those in order to have a payday takes out a payday throws it and if you sell enough of them you will make a 100 grand throws 100 grand bar pulls out a snickers satisfied
toby,oh this looks great id id love to be there but my daughters play is tonight  damnit you know one of the other parents will probably videotape it
pam,oh no you should go
toby,well its important to support local art you know and what they do is not art
michael,okay im seeing some confused faces out there let me slow down a little bit break this down okay the more stickers you sell the more profit fancy word for money you have to buy playstations and beanie babies
ryan,michael
michael,and products
ryan,what we normally do here is more of a question and answer thing
michael,well okay i was just kind of getting it going um alright well okay we can do questions okay very good first hand up
business student 1,sir as a company that primary distributes paper how have you adapted your business model to function in an increasingly paperless world
michael,we cant overestimate the value of computers yes they are great for playing games and forwarding funny emails but real business is done on paper okay write that down everyone types on their laptops
karen,hey jim heres the aspirin you wanted
jim,oh thank god i have such a headache from that glare
karen,what glare
jim,the glare off angelas crucifix its blinding
dwight,i dont have a lot of experience with vampires but i have hunted werewolves i shot one once but by the time i got to it it had turned back into my neighbors dog
dwight,extraordinary events call for extraordinary actions we form an allegiance
creed,sure
dwight,to use sudden violence
creed,okay
dwight,do you have the tools to turn a wooden mop handle into a stake
creed,what size
business student 1,what do you say to a customer who wants to leave you for the convenience and savings of a nationwide chain
michael,i say you will miss our service and i absolutely guarantee youll come back
business student 1,has anyone ever come back
michael,we dont want them back cause theyre stupid
business student 1,how far has your herfindahl index declined since the merger
michael,nice try hows your pollacksayswhat index
business student 1,what
michael,thanks kowalsky um can we get on track here
business student 1,by your own employees calculation youll be obsolete in the next five to ten years
michael,wait ryan said that
kelly,what are you doing youd better not hurt that little bat
creed,animals cant feel pain
kelly,dont hurt that bat creed its a living thing with feelings and a family
dwight,flush him towards the door on my go now
kelly,ahh kill it kill it kill iiit
kevin,locks bat in break room i am a hero
michael,yeah sure you know business sitting up here in your ivory tower and your ebony tower you know what tell you one thing dundermifflin is here to stay
business student 1,but how can you compete against a company with the resources of a nationwide chain
michael,david will always beat goliath
business student 1,but theres five goliaths theres staples officemax
michael,yeah yeah you know what else is facing five goliaths america alqaeda global warming sex predators mercury poisoning so do we just give up is that what were learning in business school
business student 1,but in the big picture
michael,dundermifflin is the big picture cant you understand that no you cant youre too young ryan has never made a sale and he started a fire trying to make a cheesy pita and everybody thinks hes a tease well you know what he doesnt know anything and neither do you walks out so suck on that
ryan,it wasnt personal
michael,business is always personal its the most personal thing in the world when we get back to the office pack your things
ryan,pack my
michael,you heard me pack your things
meredith,i really want to come out
creed,good night mary beth
jim,so youre cool to just wait here for animal control
dwight,animal control ive been controlling animals since i was six
jim,cool okay im gonna go home and lie down draw the shades theres just so much sun in here bye dwight
dwight,goodbye jim and good luck
dwight,jim is on a path now an eternal journey and i wish him well but i have a destiny in this realm specifically in the kitchen
pam,and its all from the same series
woman,oh
pam,called impressions
woman,oh
pam,not that i call myself an impressionist per se
woman,maybe one day
pam,i hope so
woman,mmm
pam,i still need you know my breakthrough or whatever woman leaves roy enters hey babe how are you
roy,good alright i brought my brother huh
pam,hey kenny
kenny,hey pam
roy,how bout this huh i show up with my brother and no one from work is here thats pretty cool huh
dwight,magic time gyeeeaahhh puts bag over merediths head
meredith,ahh ahh ahh get off get off me get off me
dwight,hold still woman
meredith,get off me get it off ahhhh
dwight,captures bat in bag  youre welcome
roy,its cool if i go right i mean i looked at all of them
pam,yeah ill just ill drive myself home
roy,to my place
pam,maybe im a little tired
roy,your art was the prettiest art of all art
pam,thank you
ryan,look im sorry okay i was just trying to do my presentation and of course i was wrong to suggest that dundermifflin might ever go out of business but you dont have to fire me
michael,fire you no no no you are moving to the annex
ryan,to the annex where kelly is
michael,a good manager doesnt fire people he hires people and inspires people  people ryan and people will never go out of business
oscar,youre the one who said we needed more culture
carol,this is culture to you
oscar,its her first try
carol,yeah on van goghs first try he drew the hands of the peasants
oscar,meaning what
carol,meaning real art takes courage okay and honesty
oscar,well those arent pams strong points
carol,yeah exactly thats why this is motel art
artist,thanks for coming
michael,pamcasso sorry im late i had to race across town
pam,oh michael
michael,wow you did these freehand
pam,yep
michael,my god these could be tracings ohh look at this one wow you nailed it sighs  how much
pam,what do you mean
michael,i dont see a price
pam,um you wanna buy it
michael,well yeah yeah we have to have it for the office i mean theres my window and theres my car that your car
pam,uhhuh
michael,that is our building and we sell paper  i am really proud of you
pam,hugs michael  thank you
michael,what
pam,do you have something in your pocket
michael,chunky do you want half
pam,no thank you
michael,okay
michael,it is a message it is an inspiration it is a source of beauty and without paper it could not have happened unless you had a camera
kelly,oh my god oh my god oh my god oh my god oh my god oh my god oh my god oh my god oh my god oh my god oh my god oh my god oh my god
ryan,its only temporary okay dont get excited
kelly,i wont i wont i wont i wont i wont i wont i wont i wont i wont i wont i wont i wont
michael,well ultimately i went into business to inspire people they say those who cant do teach i can do both i teach doing
jim,ok here we go digest of business terms cliffsnotes on business economics and a sales encyclopedia
michael,wow thats a lot of books do you have umm one book that sums up all of these
jim,those are the books that sum up the other books
michael,so no
jim,what are you reading
michael,oh umm ever since i started here ive kept a diary of all my sales
jim,oh that could be interesting
michael,no its just mileage mostly but theres one chapter that i call wisdoms im going to read you a series of statements and i want you to tell me on a scale of one to ten how smart they are
jim,clears throat i am ready
michael,dont do what i say say what i do
jim,five
michael,just getting warmed up mistakes are just successes that you mess up
jim,hmm five
michael,this you know this is a scale of one to ten
jim,yeah
michael,ok do you want me to repeat that
jim,no i got it
creed,motions to phylliss desk
stanley,shes on her honeymoon she wont be back for six weeks
creed,ill wait sighs
meredith,heres a joke for you why did pam hook up with roy at phylliss wedding
angela,dont meredith
meredith,you ready
oscar,you know i dont like to participate in the
meredith,why did pam hook up with roy at phylliss wedding
oscar,really its just that i dont like to participate
meredith,grow up
oscar,its just im sorry its gossip and i dont think its healthy
meredith,get over yourself
oscar,well im not going to get over myself its wrong
meredith,because roy use to long censor beep with the rice long censor beep laughs
oscar,laughs thats disgusting
meredith,still laughing i know
michael,everybody please stand and get up on your desks goes to stand on desk just stand right up
ryan,michael its not its not
michael,thats yep a little flimsy umm ok ahh alright no more desks oh ok
michael,i have a lot of big ideas and the trick is to get it out of my brain and into theirs in a way that is easy to swallow simple holds up snickers kids love candy bars
michael,lets try a little little social experiment here raise your hands if you like to buy things ok i see some people who like to buy things youre it you are the reason this world rolls along give yourselves a round of applause say say you want to start a business and business is all about buying and selling is it not so say you want to sell lemonade or stickers something you have to keep in mind you must and you might want to jot this down you must sell the stickers for more than you bought the stickers for
student 2,how have you adopted your business model to function in an increasingly paperless world
michael,oh oh i take umbrage to that premiseses umm let me ask you this how many people exist in the world over forty billion what are they going to be writing on rocks any one else points yep
student 2,just following up on that first question
michael,no no no no no never follow always lead
student 2,ok
michael,ok
student 2,new question
michael,very good
student 2,in the digital age
michael,ok
student 2,email
michael,bop bop de bope bop bop bop bop bop you only have me for a limited time yes
student 2,do you believe your high fixed cost are warranted given your diminishing market share
michael,how can i put this that question makes you sound gay
karen,karen sees pams art show flyer on the cabinet door she looks around to make sure no one is looking then proceeds to rip in down oscar comes out of the bathroom karen acts like she was just looking at it and then walks out of the kitchen
dwight,bat
meredith,comes out of the bathroom screams runs back into the bathroom
dwight,what is a leader i asked jim that and he said he had never heard the word before in america in 2007 he said he knew the word ladder what an ignoramous
meredith,bat hanging from ceiling cleaning itself i really want to come out
dwight,you want rabies be my guest
pam,looking with kevin at the art show flyer should be fun
kevin,your name looks really nice
creed,goodnight marybeth
kelly,hope shes ok
angela,just goes to show the power of prayer
kelly,you prayed for this
angela,in a general sense
kenny,so cool youre back with roy maybe we can rent that cabin on the lake again this summer
pam,yeah thatd be nice
kenny,therell be two of you and only one of me this time since denise left me so i think its fair i only pay a third
pam,yeah that seems fair
michael,can you confirm that the straps are tight
dwight,yes but this pulls at straight jacket seems to be
michael,and now the chains
michael,a lot of people think that magic camp is just for kids and thats why so many other people in my class were kids self fulfilling prophecy its um its really for anybody with a dream and a belief in magic and a little extra time after school
michael,magic magic magic magic magic magic and now michael the magic will attempt to escape from extreme bondage kevin giggles can he do it i dont see how he can
dwight,i know how dislocate his shoulder and slip his arm out from underneath
michael,no no everyone now count down with me three
jim,sorry quick thing is it true that if you cant get out you dont want anyone to help you
michael,i will get out oh yes i will
pam,so we shouldnt help you no matter how much you might beg and plead
michael,no alright this is getting hot so lets just do this ok ready three two one go michael spits out key jim covers it with his foot
michael,ahhhh
kevin,is everything ok michael
michael,yes
michael,i cannot tell you how i plan to escape other than by using magic that is the magicians code separately on an unrelated note if you happen to find a small brass key
michael,alright
dwight,trumpet sounds
michael,ready come on guys early worm gets the worm
jim,another worm like are they friends
dwight,its early bird gets the worm
michael,pam would you smell my breath
pam,no no
dwight,let me smell michael breathes at dwight good not great
michael,michael you go to parties all the time why is tonight so special well tonight is so special because my bosss bosss boss the cfo not his initials common mistake is having a little shindig for all the managers in the company and jan and i are going as a couple for the first time so its kind of our coming out party really and that is why tonight is so special
michael,jimbo last chance to carpool
jim,oh no thanks i think karen and i will take my car
michael,sure might be a good idea
jim,yeah
michael,go in together could save some gas have some fun long trip
jim,thanks
michael,play some games
jim,oh um i think were good
michael,i spy
jim,yeah
jim,why dont i wanna go didnt expect to need a reason so let me think here um i dont know any of these people its an obligation i dont like talking paper in my free time or in my work time and did i use the word pointless
dwight,thanks for inviting me along
michael,oh sure really didnt give it any thought wait should you be going phone rings hehwoh you
jan,michael
michael,hey buttercup
jan,hi
michael,i am on my way i should be there in about 15
jan,lets just blow this party off
michael,thats what she said
jan,am i on speaker phone
michael,uh yes you are
jan,is anybody else in the
dwight,hello jan
jan,hi dwight ok michael take me off speaker phone
michael,no problem doesnt turn off speakerphone
jan,ok lets just go to a motel
michael,ok
jan,and just like rip into each other like we did on that black sand beach in jamaica
michael,ok jan jan this party is actually a really big step for us so i
jan,still on speaker
michael,ummm i dont know
jan,are cameras there
michael,maybe
jan,see you soon
michael,ok
dwight,talk to you later jan
michael,alright bye
pam,hey michael left early so a bunch of us are going to go to poor richards for happy hour you should come
roy,i cant my brother he just unloaded the jet skis and kinda took a bath so were going to go get hammered
pam,ok well were going to a bar hey you have to come to stuff with me im serious if youre going to be my boyfriend you have to do boyfriend things
roy,ok
pam,i have decided that im going to be more honest im going to tell people what i want directly so look out world cause ol pammy is getting what she wants and dont call me pammy
michael,beauty thank you sir
dwight,salad
michael,thank you
dwight,you dressed exactly like the servants
michael,shut up ok change shirts with me
dwight,wait i dont think yours will fit me
michael,i dont care oh wow here dont put my jacket dont give me that
dwight,that would have been really embarrassing
michael,yes
dwight,crisis averted
michael,ok
pam,oh that duck is so cute
kevin,hey pam
pam,hey guys
kevin,oscar angela
michael,hi
michael,actually its polite to arrive early and smart only really good friends show up early ergo de facto go to a party really early become a really good friend
michael,oh um potato salad
dwight,its from both of us
michael,no its not
rachel,wonderful lets ah see where we can put this ok
michael,oh you probably want to leave the cover on until the guests get here
michael,its been sitting in my car all day sun beating down on the mayonnaise just you never know
pam,kevin you and stacy set a date yet
kevin,yeah
kelly,oh my god when is it
kevin,its complicated i would appreciate some space on this
roy,hey
pam,hey you made it
roy,you said it was important so hows it going
kenny,whats up pam
pam,hey kenny sorry about the jet skis
roy,you guys uh want a round on me
everyone,yeah
roy,yeah get you a drink
kenny,thanks man
angela,no thank you roy
dwight,oh you know that line on the top of the shrimp thats feces
michael,what are you looking for you bring dip
jan,im sure that its catered i need you to sign these michael its a waver of some of your rights you should read it carefully it releases the company in the event that our relationship in your opinion or in reality interferes with work you get a copy i get a copy and a third copy goes to hr
michael,awesome im going to frame mine i could frame yours too
jan,you realize this is a legal document that says you cant sue the company
michael,over our love
jan,ive never told you that i love you
michael,you dont have to jan this contract says it all
jan,i am taking a calculated risk whats the upside i overcome my nausea fall deeply in love babies normalcy no more self loathing downside i uh date michael scott publicly and collapse in on myself like a dying star
jan,whats this over the i
michael,its a heart
jan,why is this so hard thats what she said oh my god what am i saying
michael,i love this woman
jan,oh no michael please michael please
dwight,do you ever watch battlestar galactica
dan gore,no
dwight,no then you are an idiot
rachel,hello michael
michael,rachel boy you clean up good place looks great with all the lights on and everything  actually looks bigger with people in it its weird so
david,jan glad you could make it
jan,of course of course david do you remember michael scott
david,of course i do
jan,from the scranton branch
michael,jan and i are lovers it feels so good to finally say that out loud
jan,david can i um speak to you privately for just a moment please
rachel,excuse me
michael,ok
pam,looks at beers oh starts to walk away turns around no actually one of these is supposed to be a lite
bartender,oh sorry
jan,so did the merger go smoothly or
michael,it did like butter mike myers snl you should ask karen she was one of them
karen,im the only one left everyone else was either fired or quit and there is one in anger management
michael,yeah but youre great now right were all great arent we great
jan,were good michael tries to kiss jan michael stop please stop that ok
rachel,can i get anyone anything or
michael,i could go for an appeteaser
jan,martini please
michael,bagel bites or something
karen,rachel your house is beautiful
rachel,thank you
dwight,whats the square footage
david,about 5000
dwight,does that include the garage
michael,dwight wow thats not appropriate
dwight,im just
david,i dont know
dwight,its a common question
michael,david how much did this house cost
dwight,these old colonials are great when theyre sound id love to take a look around
rachel,ill show you around
dwight,cool lets start with the banisters
karen,hey do you see that guy behind you in the blue blazer against the wall
jim,yep
karen,thats drake and just so you know i dont want to be weird or anything but we use to date
jim,oh ok cool thanks for telling me
karen,and it didnt end well
jim,gotcha alright
david,this was a gift from lee iacocca twenty year old single malt scotch
michael,here is to mr iacocca and his failed experiment the de lorean takes sip coughs violently
jan,you ok
michael,yeah do you have any ice
david,sure
michael,how about some splenda
roy,one two three up jenkins down jenkins oh i think i heard the quarter over here
kenny,where
roy,on this side
kevin,no it is definitely under one of these hands points to meredith and kellys hands
ryan,i think i heard it on roys side
kevin,no it is here
ryan,tapping meredith and kellys hands not here not here not here not here
kevin,good thing you didnt listen to me
ryan,yeah close one
roy,points at one of stanleys hands and one of pams not here not here its either here or here stares at pam not here points at stanleys hand
kenny,yes
pam,nice job
roy,i can read you like a book
pam,oh yeah
roy,you cant keep anything from me
student 2,hey creed
creed,hey what are you guys doing here
student 2,youre the man buddy
creed,i run a small fake id company from my car with a laminating machine i swiped from the sheriffs station
dwight,huh bangs on wall yeah these studs are way too far apart whats in here opens door
rachel,uh thats a guest room
dwight,just the one window
rachel,phone rings oh i must get that youll have to excuse me
dwight,are those real pearls
rachel,uh yes
dwight,tests smoke detector good
jim,well it was nice meeting you guys take care
karen,well if youre wondering why his wife was staring daggers at me its because i kinda saw him for a little bit while they were separated
jim,oh hadnt noticed
karen,really i thought it was so obvious im glad it didnt make you uncomfortable
jim,no it was before i knew you so its fine
michael,this one really smells like vanilla check that out
jan,its nice
michael,you and the misses should join us at sandals jamaica next christmas
jan,i michael i think david probably wants to spend christmas here with his family
michael,oh yeah they dont allow kids at sandals they are persona non gratis there but its fun its an awesome place you would not believe how low this girl can limbo
jim,oh
michael,crazy
jan,im sorry youre just going to have to excuse us for just a couple minutes
michael,ok excuse me whats going on what is it
jan,sorry michael come here just just just just kisses michael
michael,what are you doing
jan,dont you know what im doing
michael,yes but you could tell me what what is that why are you why are we going in the bathroom i thought this is where you liked your privacy
jan,shut up
michael,what has gotten into you
jan,come on
michael,no no no
jan,what
michael,come on lets go back to the party
jan,just let me loosen my dress
michael,dont take that dress stop it jan
jan,michael
michael,no no no means please dont please
jan,slam me up against the wall right here
michael,im not going to slam you up against the wall
jan,oh please
michael,youre acting inappropriate jan
jan,oh im acting inappropriate get out
toby,here hands pam a duck stuffed animal
pam,hey where have you been all night i was looking forward to hanging out with you
toby,i was
pam,hey dont you have a daughter
toby,takes duck back yes
dwight,oh good youre up hey who makes this chair
child,i dont know it was here when i was born
dwight,i want one its got good solid construction comfortable what is this oak
child,i dont know
dwight,what do you know
david,god i hate these parties do you want to sneak out back and shoot some hoops meet me outside in two minutes
jim,you stay here and have fun because im going to go out back and shoot hoops with david wallace
karen,ok oh um dont mention that you and i are dating cause i think he might still have feelings for me
jim,wallace what the hell have you dated like every guy here karen smiles and gives herself away wow ok you got me
karen,i so got you
jim,so none of them
karen,of course not i mean youre kind of like my first
jim,really
karen,oh my god its so easy fun
jim,ok
karen,hey jan
jan,not too good
rachel,did you get a chance to try michaels homemade potato salad
michael,rachel thinks that i brought homemade potato salad and i just picked it up at the supermarket its funny i wish i could make potato salad that good its just potatoes and mayonnaise there is something wrong with jan
david,whats ah whats with jan and michael
jim,i dont know where to begin my ball
dwight,the chimney is in decent shape not great i found some termite damage in a crawl space and some structural flaws in the foundation so all in all it was a pretty fun cocktail party
roy,what
pam,i want us to make it i want a fresh start
roy,thats awesome thats what i want
pam,oh ok but in order for us to make it there cant be any secrets between us
roy,i didnt do anything ask anyone i totally could have and i didnt at all
pam,just listen remember that casino night about a month before we were supposed to get married i kissed jim
roy,what
pam,he told me how he felt and i guess i had feelings too and we kissed
roy,jim came on to you
pam,just listen
roy,no i am listening thats the problem i am listening
pam,dont yell
roy,dont yell
pam,this is over
roy,yeah youre right this is so over you kidding me pam come on god
kenny,damn jet skis
michael,our first fight if this is about what happened in the bathroom there was no place to cuddle
jan,i feel sick
michael,you didnt have any of the potato salad did you
jan,no we were good when we were just running around you know in secret it was wrong and it was exciting maybe it was a mistake to take it public
michael,well if thats the way you feel my lady then you have hurt me greatly
jan,please dont cry
michael,im not going to cry i feel like it but i am not going to why dont you just take your stupid love contract and tear it up into a million little pieces
jan,it was never a love contract michael and besides i have already given a copy to david and it would be just as embarrassing to get it back as i was handing it to him
michael,i want the house jan i want the picket fence i want the ketchup fights and the tickling and the giggling
jan,i didnt mean it i was
michael,whatever
jan,tired im tired and i didnt eat enough and and thats all that was it
michael,thats all you didnt mean it
jan,thats all i didnt mean it thats all im just saying i didnt mean it
michael,i love you jan
jan,ok
dwight,dont break up you guys youre great together
roy,are they going to call the cops
kenny,no i paid them off
roy,jet ski money
kenny,all of it
roy,im gonna kill jim halpert
karen,i think its great that jims invited its important to have contact with the new york execs or theyll think everyone here is like michael
roy,points to pams painting of the building laughs you gotta sign that
pam,laughs
roy,no you gotta put your name in the corner  ive seen that artist do that  its good too cause like you can know who paints what you know
ryan,hey are you going to poor richards
toby,i dont know you
ryan,maybe
kelly,im going and so are both of you  were all going
ryan,hey isnt there some rule against interoffice dating
toby,whispering i am not doing your dirty work for you
kelly,i hear whispering
jim,ok so promise that youll wait till we leave the parking lot before you go to the bar
pam,yes boss
karen,see ya pam
kevin,oscar angela  i didnt think you guys would come
angela,why wouldnt we come
kevin,because of reasons
kevin,are there carbs in vodka
walter,hey folks what can i get you  oh hey meredith
meredith,hey
walter,another vodka
meredith,yeah  jack these are my coworkers
kevin,sup
walter,pointing to each correct person ryan pam stanley kelly kevin creed howd i do
stanley,hmm come here much
oscar,these wings are all fat and bone
angela,this place is disgusting they smile at each other
dwight,why would the architect design stairs this wide  was there an obese family in here before you
rachel,i dont know that  im sure the architect passed away many years ago
dwight,how convenient
jan,i am attracted to weird wrong men  i dated a violent karate instructor and then an unemployed fireman  life has been complicated  ive made some decisions that im not proud of my marriage being overly litigious with my family  i orgasm fairly easily michael was kind of like my dirty secret you know having sex with him oh i was just turned on by my own degradation  um why anyway i was told by somebody recently that i respect that im old enough to have a mature relationship and thats what this whole evening is about and i have high hopes
melissa,at the door hi ryan
ryan,hey
melissa,how are you doing  ive ive missed you
ryan,ive missed you too
melissa,dont you remember me
ryan,um you ah you gotta give me a hint  um did you meet me at the gym
melissa,no
kelly,still at the table who the hell is ryan talking to
ryan,at the door are you a client of dunder mifflin
melissa,no
stanley,at the table oh not again  melissa
melissa,daddy
stanley,wait for my outside  to ryan she is sixteen years old  what is wrong with you
ryan,okay okay  stanley let me explain to you what happened
stanley,no no no no
ryan,she came right up to me just like she did when you brought her into work
stanley,no no no you planned this whole thing boy  ill snatch your spine out your back
dwight,space shuttle which one  oh atlantis  good thing its not the discovery  you play soccer
michael,what a weird day  i dont understand it but you dont get to understand everyday of your life  maybe five ten days a year ill get home and i will have no idea what the hell just happened  guess everybody has days like that  sometimes theyre the nicest ones  still i think there might be something wrong with jan
karen,so do you want to see it or not
jim,i dont know  feel like friday night crowds
karen,oh my god youre like agoraphobic
jim,agoraphobic
karen,yeah
jim,really
karen,yeah  you would rather sit on your couch and watch a phillies game than go out to a movie with your awesome girlfriend
jim,absolutely correct
kevin,later jim
jim,kev have a good weekend
karen,bye  ok so this is whats gonna happen  youre gonna suck it up
jim,here we go
karen,and were gonna go to dinner
jim,ok
karen,and then were gonna go to the movies
jim,sounds good
roy,hey halpert
jim,hey roy lunges towards jim
pam,roy
karen,shrieks
pam,roy dont dwight peppersprays roy
roy,screams in pain ahh god
dwight,pam please call security
dwight,everyday for eight years i have brought pepper spray into this office to protect myself and my fellow employees  and everyday for eight years people have laughed at me  well whos laughing now dwight blinks and winces in pain from the pepper spray
michael,no need for consternation everything is under control
jan,michael last friday one of your employees attacked another employee in your office
michael,it was a crime of passion jan not a disgruntled employee everyone here is extremely gruntled
jan,sigh is toby there
michael,no
toby,im here jan
jan,ok what what is the situation toby
toby,well we fired roy obviously  and jim wont press charges against roy or the company
jan,thank god
toby,yeah um but now apparently darryl has some issue with his
michael,no he has been wanting a raise for a couple of months and hes just using this roy thing as leverage
jan,all right well are you gonna take care of this
michael,yeppers
jan,what did i tell you about yeppers
michael,i dont remember
jan,i told you not to say it  do you remember that
michael,yeesh
pam,i really dont want to talk about it  i dont mean to be rude but i just i dont want to comment on what happened  it sucked
jim,i guess all things considered i was lucky dwight was there  and roy was lucky that dwight only used pepper spray  and not the nunchucks or the throwing stars
jim,hey man i never got a chance to thank you for stopping roy  thank you
dwight,thank you not necessary and thus not accepted  i saw someone breaking the law and i interceded
jim,okay  um got you something
dwight,dont want it
jim,you dont know what it is
dwight,dont want it  wont open it  dont need it  wont take it  citizens do not accept prizes for being citizens
jim,it was a little glass display case for his for his bobblehead  that would have made us even i think  he saves my life i get him a box for his desk toy  even steven
dwight,no dont call me a hero  do you know who the real heroes are  the guys who wake up every morning and go into their normal jobs and get a distress call from the commissioner and take off their glasses and change into capes and fly around fighting crime  those are the real heroes
oscar,angela roys check  hes coming in later to pick it up
kevin,man i cannot believe i missed the fight
oscar,it was crazy
angela,you saw it  describe it please
oscar,well i heard some shouting  and i look over and roys by reception and you could just tell hes gonna punch somebody  jim says something  roy stomps over there  all of the sudden bam  roy goes down and dwights standing there like an action hero
angela,oh
oscar,it was insane
angela,flustered well good for dwight
michael,ok i want you to be darryl and ask me for a raise because i want to try out some of these negotiation tactics on you
jim,whered you get that
michael,wikipedia
michael,wikipedia is the best thing ever  anyone in the world can write anything they want about any subject so you know you are getting the best possible information
michael,ok darryl ask me for a raise
jim,hey mike  since roy left ive been doing a lot more work and i need a raise
michael,hmm well thats interesting darryl  i think mumbling softly that maybe you should mumbling jibberish
jim,i cant hear you
michael,what im saying is that continues to mumble jibberish
jim,still nothin
michael,ok see what i did
jim,no
michael,by leaning back and by whispering i established a dominant physical position
jim,nice
michael,ok lets try another one  um
jim,okay
michael,walking out of the room unexpectedly
jim,and what happens in this one
michael,its a surprise
jim,okay
michael,go ahead ask me for a raise
jim,can i have a raise
michael,gets up and begins to walk out of the room
jim,softly sex steve martin terri hatcher
michael,what
jim,what
michael,no what did you say
jim,i didnt say anything  i was waiting to see what happened
michael,oh it sounded interesting what you were gonna
dwight,i saw the perpetrator advance toward the victim at a high rate of speed  his head was thrown back his shoulder and arm cocked indicating an attack position  perp grabbed the victim  i removed my weapon from its secure hiding place
toby,which is where
dwight,irrelevant  discharged it at a distance of a little over a meter into the perpetrators eyes nose and face area  rendering him utterly and completely disabled  then i contacted the authorities  the end
toby,thanks dwight
kelly,that is the bravest thing i have ever heard
ryan,i cant imagine what i would have done
kelly,i can  you would have left me to fend for myself  like that time we were on the ferris wheel and that kid dropped a milk shake on me and you just laughed
ryan,well that was funny thats why
kelly,oh it was
ryan,mmhmm
kelly,okay well the next time that you get scared that you think a murderers in your apartment in the middle of the night
ryan,okay
kelly,and you call me to calm you down
ryan,you know what  i didnt
toby,can you stop
kelly,you can just call somebody else cause im not gonna do it anymore ryan  im not
toby,theres a bunch of people back here maybe
ryan,well dont talk to me about calling people in the middle of the night
toby,guys
kelly,i call you in the middle of the night to tell you that i love you
toby,i dont think michael intended to punish me by putting ryan back here with kelly  but if he did intend that  wow  genius
michael,knock on door yeah
darryl,you ready for me
michael,yes yeah absolutely  have a seat
darryl,cool
michael,you know what  actually lets go into the conference room
darryl,okay
michael,no you know what  lets stay here  no lets go yeah lets go to the conference room
michael,tactic number six  change the location of the meeting at the last second  totally throws em off
michael,number 14 declining to speak first  makes them feel uncomfortable puts you in control
michael,long pause i am declining to speak first
darryl,okay ill start  its pretty simple really i uh i think i deserve a raise  im scheduled to get one in six months but id like that to be moved up to now
michael,hmm  ohh darryl  you are a good worker and a good man  i just you know times are tight  and i just dont think corporate is going to go for this right now
darryl,are you wearin lady clothes
michael,what
darryl,are you wearin lady clothes  those look like lady pants
michael,no this is a power suit
darryl,that theres a womans suit
michael,darryl laughs i do not buy womans clothes  i would not make that mistake again
darryl,ima call roy man
michael,ohh kay
darryl,this is gonna make him feel better
michael,all right
darryl,this is too good
michael,alright you know what  pam could you please tell darryl that this is not a womans suit
pam,oh my god thats a womans suit
kevin,youre wearing a womans suit
michael,no i do i i wear mens suits ok  i got this out of a bin
michael,there were these huge bins of clothes and everybody was rifling through them like crazy and i grabbed one  and it fit  so i dont think that this is totally just a womans suit  at the very least its bisexual
kevin,who makes it
michael,uh reading the inside of his jacket missterious  and it is mysterious because the buttons are on the wrong side thats the mystery
phyllis,look its got shoulderpads and did you see that lining
michael,okay
phyllis,did you see
michael,would you stop it please
jim,so none of that tipped you off
michael,its european ok  its a european cut
pam,michael the pants dont have any pockets
michael,no they dont  see  michael lifts his jacket tail sticks out his back side and shows pam
pam,laughing covering her mouth
michael,italians dont wear pockets
pam,its been a really rough couple of days this helps a little
karen,hey maybe you want to come over and raid my closet
michael,no i dont want to do that because im twice your size anyway
